GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT3G50540,0.00203527280399125,AT3G50540,3,1,protein_coding,na
AT2G03530,0.00202212875855772,UPS2,2,1,protein_coding,na
AT5G41740,0.00191139694393236,AT5G41740,5,1,protein_coding,na
AT5G41420,0.00190464558926417,AT5G41420,5,-1,protein_coding,na
AT5G43450,0.00186493883194103,AT5G43450,5,-1,protein_coding,na
AT1G21323,0.00178184811091855,AT1G21323,1,1,protein_coding,na
AT4G12735,0.00164301906167052,AT4G12735,4,-1,protein_coding,na
AT3G56790,0.00161855651088593,AT3G56790,3,-1,protein_coding,na
AT5G09876,0.00160909262023456,AT5G09876,5,1,protein_coding,na
AT3G23230,0.00153607893353751,AT3G23230,3,-1,transcription_factor,AP2-EREBP
AT1G24390,0.00153249515802792,AT1G24390,1,1,protein_coding,na
AT1G56240,0.00149976036598623,AtPP2-B13,1,-1,protein_coding,na
AT2G17660,0.00148921991488177,AT2G17660,2,1,protein_coding,na
AT1G61340,0.00148607334693384,AT1G61340,1,1,protein_coding,na
AT1G05675,0.00141989261084234,AT1G05675,1,-1,protein_coding,na
AT2G04050,0.00133957897162695,AT2G04050,2,-1,protein_coding,na
AT3G56020,0.00132420157796706,AT3G56020,3,-1,protein_coding,na
AT4G08593,0.00130808424744258,AT4G08593,4,1,protein_coding,na
AT3G29000,0.00129120290767087,AT3G29000,3,1,protein_coding,na
AT1G63750,0.00128142356902792,AT1G63750,1,1,protein_coding,na
AT2G37910,0.00126932759130406,AT2G37910,2,1,protein_coding,na
AT5G22170,0.00126669689373695,AT5G22170,5,1,protein_coding,na
AT1G33760,0.00126102232092337,AT1G33760,1,1,transcription_factor,AP2-EREBP
AT1G22570,0.00126029534719996,AT1G22570,1,-1,protein_coding,na
AT1G74930,0.00123507208760694,ORA47,1,1,transcription_factor,AP2-EREBP
AT1G11050,0.00118779782214799,AT1G11050,1,1,protein_coding,na
AT3G20362,0.00118709564967846,AT3G20362,3,1,protein_coding,na
AT1G36745,0.00113125882810203,AT1G36745,1,1,protein_coding,na
AT1G12490,0.00106896279380107,AT1G12490,1,1,protein_coding,na
AT4G03050,0.00105062409700205,AOP3,4,1,protein_coding,na
AT1G27730,0.00102671160921155,STZ,1,-1,transcription_factor,C2H2
AT1G67470,0.000980415156785443,AT1G67470,1,1,protein_coding,na
AT3G04200,0.000973513021535655,AT3G04200,3,-1,protein_coding,na
AT3G16860,0.000916599350278337,COBL8,3,-1,protein_coding,na
AT3G20600,0.000898620895608505,NDR1,3,1,protein_coding,na
AT1G27695,0.000882571562785674,AT1G27695,1,1,protein_coding,na
AT2G07215,0.000860937941593291,AT2G07215,2,-1,protein_coding,na
AT5G41750,0.000851845366351807,AT5G41750,5,1,protein_coding,na
AT1G72900,0.000840098692572538,AT1G72900,1,1,protein_coding,na
AT5G39020,0.00080404276053532,AT5G39020,5,1,protein_coding,na
AT1G15700,0.000800043211292528,ATPC2,1,-1,protein_coding,na
AT4G34410,0.000795696905959969,RRTF1,4,1,transcription_factor,AP2-EREBP
AT3G55840,0.00077444185893303,AT3G55840,3,-1,protein_coding,na
AT1G76650,0.000771651436876536,CML38,1,-1,protein_coding,na
AT2G19190,0.000763526842237336,FRK1,2,-1,protein_coding,na
AT1G56250,0.00075878075923159,AtPP2-B14,1,-1,protein_coding,na
AT2G15042,0.000751582968440929,AT2G15042,2,1,protein_coding,na
AT1G12610,0.000746196117319404,DDF1,1,-1,transcription_factor,AP2-EREBP
AT2G30020,0.000740656032996282,AT2G30020,2,1,protein_coding,na
AT2G38470,0.000740021198559161,WRKY33,2,1,transcription_factor,WRKY
AT2G41640,0.000738907435597857,AT2G41640,2,1,protein_coding,na
AT1G68238,0.000731916602718521,AT1G68238,1,1,protein_coding,na
AT1G73700,0.000731665520287146,AT1G73700,1,-1,protein_coding,na
AT1G77640,0.000727167191863547,AT1G77640,1,1,transcription_factor,AP2-EREBP
AT3G16970,0.000721737148698947,AT3G16970,3,-1,protein_coding,na
AT5G37560,0.000721596677808902,AT5G37560,5,1,protein_coding,na
AT2G32130,0.000708028118940947,AT2G32130,2,-1,protein_coding,na
AT3G52400,0.000703842243082018,SYP122,3,-1,protein_coding,na
AT1G51700,0.00070118454847487,ADOF1,1,1,transcription_factor,C2C2-Dof
AT5G37760,0.000694013419644437,AT5G37760,5,1,protein_coding,na
AT5G05300,0.000690266937556629,AT5G05300,5,-1,protein_coding,na
AT5G40190,0.000676667573672805,AT5G40190,5,-1,protein_coding,na
AT3G06870,0.000675188911051226,AT3G06870,3,-1,protein_coding,na
AT2G25440,0.000668675001765688,AtRLP20,2,1,protein_coding,na
AT2G26120,0.000666855527775404,AT2G26120,2,1,protein_coding,na
AT1G42980,0.000666069328474105,AT1G42980,1,1,protein_coding,na
AT1G59670,0.000665803823939234,ATGSTU15,1,1,protein_coding,na
AT2G29300,0.00066207857932876,AT2G29300,2,1,protein_coding,na
AT1G09950,0.000661703829031028,RAS1,1,-1,protein_coding,na
AT2G41490,0.000649755692324951,GPT,2,1,protein_coding,na
AT3G46090,0.000644983835388581,ZAT7,3,-1,transcription_factor,C2H2
AT3G15359,0.000644428160536449,AT3G15359,3,1,protein_coding,na
AT3G15210,0.000643370562120063,ATERF-4,3,1,transcription_factor,AP2-EREBP
AT1G05850,0.000642557483191941,POM1,1,-1,protein_coding,na
AT1G78410,0.000642032841258726,AT1G78410,1,1,protein_coding,na
AT1G21890,0.000641452298225246,AT1G21890,1,-1,protein_coding,na
AT1G52670,0.000636015571443967,AT1G52670,1,-1,protein_coding,na
AT1G56540,0.000635597469383521,AT1G56540,1,1,protein_coding,na
AT2G01260,0.000634208856491207,AT2G01260,2,-1,protein_coding,na
AT5G05650,0.000633629293578924,AT5G05650,5,-1,protein_coding,na
AT1G57943,0.000633104077755516,ATPUP17,1,-1,protein_coding,na
AT3G55980,0.000631341247425447,SZF1,3,1,transcription_factor,C3H
AT1G05760,0.000631065181655782,RTM1,1,-1,protein_coding,na
AT1G58070,0.000628552788227304,AT1G58070,1,1,protein_coding,na
AT4G23610,0.00062811570418859,AT4G23610,4,1,protein_coding,na
AT2G36770,0.000626241290363844,AT2G36770,2,-1,protein_coding,na
AT2G41473,0.000625242342252511,AT2G41473,2,-1,protein_coding,na
AT2G04515,0.000624310721864288,AT2G04515,2,1,protein_coding,na
AT2G24600,0.000624052467696604,AT2G24600,2,-1,protein_coding,na
AT5G25250,0.000619857884895299,AT5G25250,5,1,protein_coding,na
AT4G36550,0.000619349664717719,AT4G36550,4,-1,protein_coding,na
AT4G14450,0.000617973221981974,AT4G14450,4,1,protein_coding,na
AT3G54810,0.000614689312598778,BME3-ZF,3,1,transcription_factor,C2C2-Gata
AT5G04267,0.000613637883781596,AT5G04267,5,-1,protein_coding,na
AT4G13570,0.000611808527564719,HTA4,4,1,protein_coding,na
AT5G20650,0.000611441186825801,COPT5,5,-1,protein_coding,na
AT2G27600,0.000610849889576412,SKD1,2,1,protein_coding,na
AT3G54220,0.00060976094172201,SCR,3,1,transcription_factor,GRAS
AT4G38990,0.000609294658149399,AtGH9B16,4,-1,protein_coding,na
AT1G66090,0.000605690129676122,AT1G66090,1,1,protein_coding,na
AT3G31950,0.000603798745926232,AT3G31950,3,1,protein_coding,na
AT1G60830,0.000602867754586862,AT1G60830,1,-1,protein_coding,na
AT5G24400,0.000601155960058551,EMB2024,5,-1,protein_coding,na
AT3G52570,0.00060098949910734,AT3G52570,3,1,protein_coding,na
AT1G18300,0.000599491056744558,atnudt4,1,1,protein_coding,na
AT2G47960,0.000597750564643021,AT2G47960,2,1,protein_coding,na
AT2G26530,0.000597269605733303,AR781,2,-1,protein_coding,na
AT3G57450,0.000595733586625147,AT3G57450,3,1,protein_coding,na
AT1G63860,0.000594840751368316,AT1G63860,1,-1,protein_coding,na
AT1G51330,0.000593666281341885,AT1G51330,1,-1,protein_coding,na
AT1G57980,0.000592852570188829,AT1G57980,1,-1,protein_coding,na
AT1G67856,0.000592555931401583,AT1G67856,1,1,protein_coding,na
AT5G22300,0.000592098006011016,NIT4,5,1,protein_coding,na
AT1G08970,0.000590192523225861,HAP5C,1,1,transcription_factor,CCAAT-HAP5
AT1G25280,0.000590107554531009,AtTLP10,1,1,transcription_factor,TUB
AT5G43620,0.000589108354711496,AT5G43620,5,1,transcription_factor,C2H2
AT5G26920,0.000588732670898449,CBP60G,5,1,protein_coding,na
AT3G01490,0.000588496765494548,AT3G01490,3,-1,protein_coding,na
AT1G09070,0.00058831185456282,SRC2,1,1,protein_coding,na
AT3G56710,0.000587352160267355,SIB1,3,-1,protein_coding,na
AT5G17350,0.000587249391784999,AT5G17350,5,1,protein_coding,na
AT2G14500,0.000586810097325657,AT2G14500,2,1,protein_coding,na
AT2G28810,0.00058586278550392,AT2G28810,2,1,transcription_factor,C2C2-Dof
AT4G23090,0.000585799790488351,AT4G23090,4,-1,protein_coding,na
AT3G26280,0.000585678174760559,CYP71B4,3,-1,protein_coding,na
AT5G43440,0.000584198487642856,AT5G43440,5,-1,protein_coding,na
AT1G25490,0.000582866038658482,RCN1,1,1,protein_coding,na
AT2G29670,0.000582357253046015,AT2G29670,2,-1,protein_coding,na
AT1G30190,0.00058220085401991,AT1G30190,1,1,protein_coding,na
AT1G18570,0.000581282739890237,MYB51,1,1,transcription_factor,MYB
AT4G33050,0.000579821884964306,EDA39,4,-1,protein_coding,na
AT4G23160,0.000579242839818407,CRK8,4,1,protein_coding,na
AT3G18215,0.000578159851856117,AT3G18215,3,1,protein_coding,na
AT3G52760,0.000578043062236126,AT3G52760,3,-1,protein_coding,na
AT1G61790,0.000578025557341086,AT1G61790,1,1,protein_coding,na
AT1G59680,0.000577743982848637,EDA1,1,1,protein_coding,na
AT1G24159,0.000577553001650101,AT1G24159,1,1,protein_coding,na
AT1G63350,0.000576958716328846,AT1G63350,1,-1,protein_coding,na
AT3G57530,0.000575000191636706,CPK32,3,-1,protein_coding,na
AT4G29330,0.000574394357915305,DER1,4,1,protein_coding,na
AT3G21490,0.000571914044138162,AT3G21490,3,1,protein_coding,na
AT4G18195,0.00057132758520766,ATPUP8,4,1,protein_coding,na
AT3G03180,0.000570992361556146,AT3G03180,3,1,protein_coding,na
AT3G19950,0.000570780499323064,AT3G19950,3,1,protein_coding,na
AT4G13270,0.00057013679175383,AT4G13270,4,1,protein_coding,na
AT1G06160,0.000569800827415276,ORA59,1,1,transcription_factor,AP2-EREBP
AT1G67970,0.000569770539291605,AT-HSFA8,1,-1,transcription_factor,HSF
AT4G39250,0.000569705068599991,ATRL1,4,-1,transcription_factor,MYB-related
AT2G24681,0.000569691562945636,AT2G24681,2,-1,protein_coding,na
AT4G29780,0.000569413786138051,AT4G29780,4,1,protein_coding,na
AT2G44610,0.000569222189086887,RAB6,2,-1,protein_coding,na
AT3G28710,0.000568965651457839,AT3G28710,3,-1,protein_coding,na
AT1G80860,0.000566710675914051,ATPLMT,1,-1,protein_coding,na
AT5G11490,0.000566175752139598,AT5G11490,5,1,protein_coding,na
AT4G23930,0.000565707619780655,AT4G23930,4,-1,protein_coding,na
AT4G11521,0.000565314457621304,AT4G11521,4,1,protein_coding,na
AT1G29350,0.000565188517047176,AT1G29350,1,-1,protein_coding,na
AT2G40070,0.000565131099816034,AT2G40070,2,-1,protein_coding,na
AT1G07020,0.000564762308191284,AT1G07020,1,-1,protein_coding,na
AT2G29900,0.000563461344803384,PS2,2,1,protein_coding,na
AT1G59900,0.00056333470990128,AT-E1ALPHA,1,1,protein_coding,na
AT1G66160,0.000562978193436746,ATCMPG1,1,1,protein_coding,na
AT1G73540,0.00056296988037616,atnudt21,1,-1,protein_coding,na
AT1G74810,0.000562839909311127,BOR5,1,1,protein_coding,na
AT1G20225,0.000562433896202632,AT1G20225,1,-1,protein_coding,na
AT1G53330,0.000562420585141966,AT1G53330,1,1,protein_coding,na
AT2G25120,0.000561550837031272,AT2G25120,2,1,protein_coding,na
AT1G72940,0.000560511780259229,AT1G72940,1,1,protein_coding,na
AT4G16860,0.000560502750203102,RPP4,4,-1,protein_coding,na
AT1G23460,0.000560103889764156,AT1G23460,1,1,protein_coding,na
AT2G31750,0.000559849018117306,UGT74D1,2,1,protein_coding,na
AT4G37020,0.000559635459161402,AT4G37020,4,1,protein_coding,na
AT5G07470,0.000559611181374628,PMSR3,5,-1,protein_coding,na
AT1G19780,0.000559257863256445,ATCNGC8,1,-1,protein_coding,na
AT1G25540,0.000559126035249466,PFT1,1,-1,protein_coding,na
AT1G64550,0.000558341340164623,ATGCN3,1,1,protein_coding,na
AT1G02335,0.000557243714520488,GL22,1,-1,protein_coding,na
AT2G45000,0.000556829493468295,EMB2766,2,1,protein_coding,na
AT5G14510,0.000556669841965198,AT5G14510,5,-1,protein_coding,na
AT1G58390,0.000555891077861669,AT1G58390,1,-1,protein_coding,na
AT4G27470,0.000554391171346183,ATRMA3,4,1,transcription_factor,C3H
AT5G25030,0.000554236616520449,AT5G25030,5,-1,protein_coding,na
AT1G07470,0.000554158060369801,AT1G07470,1,1,protein_coding,na
AT1G19110,0.000554060540859574,AT1G19110,1,1,protein_coding,na
AT1G75340,0.00055384022342076,AT1G75340,1,-1,protein_coding,na
AT1G65270,0.000553417065215593,AT1G65270,1,1,protein_coding,na
AT4G05000,0.000553263840151496,VPS28-1,4,1,protein_coding,na
AT3G19280,0.000553167217891113,FUT11,3,-1,protein_coding,na
AT4G11860,0.000553058994812037,AT4G11860,4,-1,protein_coding,na
AT1G49600,0.00055305412109314,ATRBP47A,1,-1,protein_coding,na
AT3G06970,0.000552669188485505,AT3G06970,3,-1,protein_coding,na
AT3G59920,0.000552666279430974,ATGDI2,3,1,protein_coding,na
AT3G56760,0.000552570966272547,AT3G56760,3,-1,protein_coding,na
AT1G53280,0.000552352805083809,AT1G53280,1,-1,protein_coding,na
AT5G16200,0.000552219893248361,AT5G16200,5,-1,protein_coding,na
AT5G18520,0.000552205712776176,AT5G18520,5,1,protein_coding,na
AT1G19020,0.000552188741421193,AT1G19020,1,1,protein_coding,na
AT2G23760,0.000551655696687985,BLH4,2,-1,transcription_factor,Homeobox
AT2G47880,0.000551188416682263,AT2G47880,2,1,protein_coding,na
AT4G36870,0.000551125045219444,BLH2,4,1,transcription_factor,Homeobox
AT5G05080,0.00055091259475765,UBC22,5,-1,protein_coding,na
AT4G37330,0.000550784974303747,CYP81D4,4,-1,protein_coding,na
AT1G21130,0.000550703837178018,AT1G21130,1,-1,protein_coding,na
AT3G24040,0.000550682935807608,AT3G24040,3,-1,protein_coding,na
AT1G19480,0.000550548214973868,AT1G19480,1,1,protein_coding,na
AT3G20970,0.000550300517059568,NFU4,3,1,protein_coding,na
AT3G10220,0.000550246260689487,AT3G10220,3,1,protein_coding,na
AT4G27960,0.0005494761885303,UBC9,4,-1,protein_coding,na
AT1G80670,0.000549430220973844,AT1G80670,1,-1,protein_coding,na
AT1G12240,0.000549401810493526,ATBETAFRUCT4,1,1,protein_coding,na
AT2G20625,0.000549361591076501,AT2G20625,2,-1,protein_coding,na
AT1G10690,0.000549347534541127,AT1G10690,1,-1,protein_coding,na
AT5G01460,0.000549226866145199,AT5G01460,5,1,protein_coding,na
AT1G11650,0.000548926296464987,ATRBP45B,1,1,protein_coding,na
AT5G39910,0.000548836364666486,AT5G39910,5,-1,protein_coding,na
AT3G19085,0.000548714537907603,AT3G19085,3,1,protein_coding,na
AT1G66300,0.000548443390410122,AT1G66300,1,-1,protein_coding,na
AT5G40382,0.000548298897534978,AT5G40382,5,-1,protein_coding,na
AT5G42990,0.000548207668456233,UBC18,5,-1,protein_coding,na
AT1G35140,0.000547979216458998,PHI-1,1,1,protein_coding,na
AT5G38470,0.000547372857221604,RAD23D,5,1,protein_coding,na
AT3G13290,0.000547220051189937,VCR,3,1,protein_coding,na
AT5G42380,0.000547212930631128,CML39,5,-1,protein_coding,na
AT3G47520,0.000547050304367133,MDH,3,1,protein_coding,na
AT3G57890,0.000546863533642216,AT3G57890,3,1,protein_coding,na
AT2G36330,0.000546828822970323,AT2G36330,2,1,protein_coding,na
AT1G31290,0.000546815478627267,AGO3,1,1,protein_coding,na
AT4G23200,0.000546579881847028,CRK12,4,-1,protein_coding,na
AT1G69870,0.000546569527177183,NRT1.7,1,1,protein_coding,na
AT5G11830,0.000546544388963648,AT5G11830,5,-1,protein_coding,na
AT3G45780,0.000546534924860478,PHOT1,3,1,protein_coding,na
AT5G27720,0.000546499329856151,emb1644,5,1,protein_coding,na
AT2G30660,0.000546371416376197,AT2G30660,2,-1,protein_coding,na
AT2G38110,0.000546306227139315,ATGPAT6,2,-1,protein_coding,na
AT1G16110,0.00054609880489638,WAKL6,1,1,protein_coding,na
AT1G07480,0.000546068354636083,AT1G07480,1,-1,protein_coding,na
AT3G01740,0.000545915948409493,AT3G01740,3,1,protein_coding,na
AT3G05630,0.000545893854466675,PLDP2,3,1,protein_coding,na
AT3G48630,0.000545776290423738,AT3G48630,3,-1,protein_coding,na
AT3G12920,0.000545730402835684,AT3G12920,3,-1,protein_coding,na
AT3G22410,0.000545650310592354,AT3G22410,3,-1,protein_coding,na
AT1G03030,0.000545644817205984,AT1G03030,1,1,protein_coding,na
AT4G35240,0.000545427321291393,AT4G35240,4,-1,protein_coding,na
AT3G06590,0.000545308176946206,AT3G06590,3,-1,transcription_factor,bHLH
AT3G10930,0.000545076534900765,AT3G10930,3,-1,protein_coding,na
AT3G05370,0.000545009042913779,AtRLP31,3,-1,protein_coding,na
AT3G21230,0.00054483183497349,4CL5,3,-1,protein_coding,na
AT5G05050,0.000544811834216594,AT5G05050,5,1,protein_coding,na
AT5G26340,0.000544630147384908,MSS1,5,-1,protein_coding,na
AT1G47860,0.000544528906897405,AT1G47860,1,-1,transposable_element_gene,C2H2
AT1G48090,0.000544507761940239,AT1G48090,1,-1,protein_coding,na
AT1G11260,0.00054432155501594,STP1,1,1,protein_coding,na
AT1G71040,0.000544294656389574,LPR2,1,-1,protein_coding,na
AT2G17740,0.000544192319179829,AT2G17740,2,-1,protein_coding,na
AT3G03260,0.000544110772264166,HDG8,3,-1,transcription_factor,Homeobox
AT1G71865,0.000543936195473032,AT1G71865,1,1,protein_coding,na
AT2G32800,0.000543893952964093,AP4.3A,2,1,protein_coding,na
AT5G14590,0.000543800590933464,AT5G14590,5,-1,protein_coding,na
AT4G19970,0.000543657699183328,AT4G19970,4,1,protein_coding,na
AT4G31900,0.000543423587206466,PKR2,4,1,protein_coding,na
AT4G21750,0.000543410471838365,ATML1,4,1,transcription_factor,Homeobox
AT3G52430,0.000543393143492801,PAD4,3,1,protein_coding,na
AT5G22740,0.00054331318240655,ATCSLA02,5,-1,protein_coding,na
AT4G39420,0.000543307031094308,AT4G39420,4,1,protein_coding,na
AT2G19500,0.000543305815869676,CKX2,2,-1,protein_coding,na
AT4G25960,0.000543159518242601,PGP2,4,1,protein_coding,na
AT5G01010,0.000543103526493611,AT5G01010,5,-1,protein_coding,na
AT2G43770,0.000543101618338684,AT2G43770,2,-1,protein_coding,na
AT1G56500,0.000543090258474345,AT1G56500,1,1,protein_coding,na
AT1G37020,0.000543024334436662,AT1G37020,1,1,protein_coding,na
AT5G43870,0.000542933977687449,AT5G43870,5,-1,protein_coding,na
AT4G36170,0.000542916665566519,AT4G36170,4,1,protein_coding,na
AT4G36988,0.00054273769583318,CPuORF49,4,1,protein_coding,na
AT3G18830,0.000542734747339562,ATPLT5,3,-1,protein_coding,na
AT2G29940,0.000542704759382454,PDR3,2,1,protein_coding,na
AT3G49220,0.000542655411502519,AT3G49220,3,1,protein_coding,na
AT3G48190,0.000542578140250949,ATM,3,1,protein_coding,na
AT3G28770,0.000542503219725359,AT3G28770,3,1,protein_coding,na
AT1G23390,0.000542487588766513,AT1G23390,1,-1,protein_coding,na
AT1G62340,0.000542479096171682,ALE1,1,-1,protein_coding,na
AT4G20080,0.000542425187217285,AT4G20080,4,1,protein_coding,na
AT1G67120,0.000542243424112252,AT1G67120,1,-1,protein_coding,na
AT3G53720,0.00054221719292354,ATCHX20,3,-1,protein_coding,na
AT4G29740,0.000542182061872845,CKX4,4,1,protein_coding,na
AT3G20975,0.000542111075424769,AT3G20975,3,1,transposable_element_gene,na
AT4G22800,0.000541989886632648,AT4G22800,4,-1,protein_coding,na
AT5G21482,0.000541974922616509,CKX7,5,1,protein_coding,na
AT4G24450,0.000541966698115833,GWD3,4,1,protein_coding,na
AT5G18900,0.000541862989205676,AT5G18900,5,-1,protein_coding,na
AT2G42470,0.000541842468452975,AT2G42470,2,-1,protein_coding,na
AT2G25600,0.000541742705281448,SPIK,2,1,protein_coding,na
AT2G01008,0.000541722251295945,AT2G01008,2,1,protein_coding,na
AT5G28237,0.000541691749566983,AT5G28237,5,-1,protein_coding,na
AT1G79230,0.000541596132492003,ST1,1,1,protein_coding,na
AT4G13395,0.000541526046373562,DVL10,4,-1,protein_coding,na
AT2G02070,0.000541471654094567,AtIDD5,2,1,transcription_factor,C2H2
AT2G35940,0.000541447164471314,BLH1,2,-1,transcription_factor,Homeobox
AT4G10060,0.000541431991423208,AT4G10060,4,1,protein_coding,na
AT5G23850,0.00054140436024953,AT5G23850,5,1,protein_coding,na
AT1G58050,0.000541403798546179,AT1G58050,1,-1,protein_coding,na
AT4G00360,0.000541385480197448,CYP86A2,4,1,protein_coding,na
AT1G68890,0.000541339700066129,AT1G68890,1,1,protein_coding,na
AT1G65720,0.000541308699022748,AT1G65720,1,-1,protein_coding,na
AT2G29090,0.000541289944578265,CYP707A2,2,-1,protein_coding,na
AT1G05805,0.000541288864558371,AT1G05805,1,1,transcription_factor,bHLH
AT1G78300,0.000541281618170214,GRF2,1,1,protein_coding,na
AT2G44520,0.000541213695013757,COX10,2,1,protein_coding,na
AT1G77930,0.000541171134984643,AT1G77930,1,1,protein_coding,na
AT4G18250,0.000541151771224401,AT4G18250,4,-1,protein_coding,na
AT1G55120,0.000541095256518265,FRUCT5,1,1,protein_coding,na
AT3G19170,0.000541088048894978,PREP1,3,-1,protein_coding,na
AT5G24930,0.000541077324412578,ATCOL4,5,1,transcription_factor,C2C2-CO-like
AT3G22968,0.000541069848071563,CPuORF59,3,1,protein_coding,na
AT5G17490,0.000541067392102376,RGL3,5,-1,transcription_factor,GRAS
AT4G02780,0.000541066492176077,GA1,4,-1,protein_coding,na
AT3G51290,0.000541039592701751,AT3G51290,3,1,protein_coding,na
AT3G14300,0.000541023168758579,ATPMEPCRC,3,-1,protein_coding,na
AT1G01590,0.000540959022201755,FRO1,1,1,protein_coding,na
AT1G65960,0.00054088419651839,GAD2,1,1,protein_coding,na
AT3G24518,0.000540853549015256,AT3G24518,3,-1,ncRNA,na
AT3G19580,0.000540850625916623,AZF2,3,-1,transcription_factor,C2H2
AT2G47430,0.000540840344571895,CKI1,2,-1,protein_coding,na
AT3G29320,0.000540829613890655,AT3G29320,3,1,protein_coding,na
AT3G03440,0.000540824290410102,AT3G03440,3,1,protein_coding,na
AT4G14250,0.000540805717134066,AT4G14250,4,-1,protein_coding,na
AT5G21105,0.000540788223126253,AT5G21105,5,1,protein_coding,na
AT3G25610,0.000540772572777415,AT3G25610,3,-1,protein_coding,na
AT3G48770,0.000540760294069739,AT3G48770,3,-1,protein_coding,na
AT2G27990,0.000540678029681958,BLH8,2,-1,transcription_factor,Homeobox
AT4G34950,0.000540675931229288,AT4G34950,4,-1,protein_coding,na
AT3G01080,0.000540649889659365,WRKY58,3,1,transcription_factor,WRKY
AT4G00730,0.000540637085133278,ANL2,4,-1,transcription_factor,Homeobox
AT5G11060,0.000540631806831264,KNAT4,5,1,transcription_factor,Homeobox
AT5G28300,0.000540605623937959,AT5G28300,5,-1,transcription_factor,Trihelix
AT3G58460,0.000540560866513784,RBL15,3,-1,protein_coding,na
AT2G47750,0.000540506371303684,GH3.9,2,-1,protein_coding,na
AT1G13820,0.000540469664033684,AT1G13820,1,1,protein_coding,na
AT2G34360,0.000540466832578898,AT2G34360,2,1,protein_coding,na
AT5G03760,0.000540466099082358,ATCSLA09,5,-1,protein_coding,na
